분야,서비스명,핵심 정체성,강점,약점,추천 상황,프롬프트 특징,가격 정책,요금제 특징
리서치 (Research),ChatGPT (OpenAI),표준형 AI 비서,"가장 밸런스가 좋음. 'GPTs' 기능을 통해 데이터 분석, 코딩 등 확장성이 뛰어남.",무료 버전은 최신 정보 검색이나 파일 분석에 제한이 있을 수 있음.,"일반적인 자료 조사, 텍스트 요약, 논리적인 글쓰기.","[페르소나] ""너는 10년 차 에디터야. 이 글을 다듬어줘.""",부분 유료 (Freemium),"무료로도 GPT-4o 사용 가능(제한적). Plus($20/월) 구독 시 사용량 무제한, 고급 데이터 분석, DALL-E 3 이미지 생성 가능."
리서치 (Research),Gemini (Google),Google 생태계 연동 비서,"유튜브 영상 내용을 보고 찾거나, 구글 드라이브/문서와 연동됨. 긴 문맥 이해에 강함.",이미지 생성 등 일부 기능에서 지나친 안전 필터가 걸릴 때가 있음.,"유튜브 영상 요약, 긴 논문 분석, 구글 워크스페이스 작업.","[멀티모달] ""이 유튜브 영상 링크 내용을 3줄로 요약해줘.""",부분 유료 (Freemium),기본 모델 무료. Advanced($20/월) 구독 시 최신 모델(Ultra) 사용 및 Google One 용량 제공.
리서치 (Research),Grok (xAI),실시간 트렌드 검색,X(트위터)의 실시간 데이터를 바로 검색함. 최신 밈이나 뉴스 반영 속도가 가장 빠름.,별도 무료 버전 없이 X(트위터) 유료 구독이 필요함.,"현재 사람들의 반응, 실시간 트렌드, 밈(Meme) 조사.","[모드 변경] ""재미있는(Fun) 모드로 요즘 유행 설명해줘.""",유료 (Paid),X Premium(월 약 1만원대~) 구독자만 사용 가능. 이미지 생성(Flux) 기능 포함.
리서치 (Research),Perplexity,검색 엔진 대체자,정확한 출처(각주) 제공. 웹 문서를 읽고 팩트 위주로 답변.,창의적인 글쓰기 능력은 전문 LLM보다 부족함.,"시장 점유율 조사, 논문 검색, 팩트 체크.","[검색어 중심] ""2026년 커피 원두 시장 전망 (출처 포함)""",부분 유료 (Freemium),"기본 검색 무료(횟수 넉넉함). Pro($20/월) 구독 시 하루 300회 이상 검색, Claude 3.5/GPT-4o 모델 선택 가능, 파일 업로드 무제한."
리서치 (Research),Felo (검색),다국어 리서치 에이전트,일본어/영어 문서를 한국어로 완벽하게 번역해 찾아줌. 마인드맵 생성 기능 보유.,아직 인지도가 낮고 UI가 낯설 수 있음.,"해외(특히 일본/미국) 현지 반응 조사, 논문 교차 검증.","[언어 설정] ""일본 현지 사이트 반응 위주로 찾아줘.""",무료 (Beta),현재 대부분의 기능을 무료로 사용 가능. (추후 유료화 가능성 있음)
리서치 (Research),Genspark,AI 큐레이션 페이지,"검색 결과를 단순 나열하지 않고, '스파크페이지'라는 하나의 요약 웹페이지로 만들어줌.",단순하고 빠른 1문답 검색에는 오히려 무거울 수 있음.,"특정 제품 비교 분석(아이폰 vs 갤럭시), 여행 계획표 짜기.","[비교 요청] ""도쿄 3박 4일 여행 코스 짜고 페이지로 정리해줘.""",무료 (Beta),현재 베타 기간으로 무료 사용 가능.
리서치 (Research),Liner,학술/지식 하이라이트,신뢰할 수 있는 출처(논문 등) 필터링 강력. 형광펜 기능으로 중요 정보 수집.,창작보다는 '수집 및 정리'에 특화됨.,"과제 자료 수집, 참고문헌 정리.","[필터링] ""학술 논문 위주로 검색해줘.""",부분 유료 (Freemium),기본 형광펜/웹 요약 무료. Pro 요금제 사용 시 학술 검색 무제한 및 더 똑똑한 AI 모델 사용 가능.
리서치 (Research),Storm,심층 리포트 생성기,위키피디아 스타일의 긴 호흡을 가진 전문 보고서를 작성해줌.,"생성 시간이 오래 걸리고, 간단한 질문엔 부적합.","딥다이브 주제 연구, 백서(Whitepaper) 초안.",[주제어] 질문보다는 탐구하고 싶은 '키워드' 입력.,무료 (Research Preview),현재 연구용 프리뷰 버전으로 무료 제공.
시각화 / PPT,Gamma,카드 뉴스형 PPT 생성,텍스트 입력 시 디자인된 슬라이드 자동 생성. 웹 기반이라 공유가 쉬움.,전통적인 PPT 레이아웃과는 달라서 인쇄용으론 어색할 수 있음.,"빠른 제안서 작성, 아이디어 피칭 자료.","[개조식] ""1.문제 2.해결 3.비전 순서로 만들어줘.""",부분 유료 (Freemium),가입 시 400 크레딧(PPT 약 4~5개) 무료. 무료 버전은 'Made with Gamma' 워터마크 표시됨. 유료는 무제한 생성.
시각화 / PPT,AiPPT,문서 변환 PPT 도구,워드(Word)나 PDF 파일을 업로드하면 PPT 포맷으로 그대로 변환해줌.,Gamma보다 디자인 자유도는 낮을 수 있음.,이미 있는 보고서를 PPT로 빠르게 옮겨야 할 때.,[파일 업로드] 텍스트 입력보다 문서 업로드 기능 활용.,부분 유료 (Credit),무료 체험 크레딧 제공. 이후 월 구독이나 건당 결제 필요.
시각화 / PPT,Canva,디자인 템플릿 허브,압도적인 템플릿 수. Magic Design으로 텍스트에 맞는 디자인 추천.,내용의 논리적 구조보다는 비주얼 꾸미기에 치중.,"감성적인 발표 자료, 포스터, SNS 게시물.","[분위기 묘사] ""봄 느낌 나는 따뜻한 핑크톤 템플릿.""",부분 유료 (Freemium),"무료로도 충분히 강력함. Pro 사용 시 프리미엄 소스(사진/아이콘) 무제한, 배경 제거, 크기 자동 조절 기능 사용 가능."
시각화 / PPT,Napkin,텍스트 도식화,글을 복사해 넣으면 심플한 다이어그램(그림)으로 바꿔줌.,전체 슬라이드를 만드는 게 아니라 '삽입용 그림' 제작 툴.,줄글만 있는 장표를 그림으로 요약하고 싶을 때.,[복사/붙여넣기] 요약하고 싶은 문단을 그대로 입력.,유료 (Trial),초기 베타 때는 무료였으나 현재 유료 전환(체험판 제공). 전문가용 도구.
시각화 / PPT,Mapify,AI 마인드맵 생성,긴 PDF나 유튜브 영상을 넣으면 구조화된 마인드맵으로 쫙 펼쳐줌.,PPT 슬라이드 형태는 아님.,"복잡한 개념 정리, 강의 요약, 브레인스토밍.",[자료 입력] 유튜브 링크나 파일 업로드가 핵심.,부분 유료 (Credit),무료 크레딧(10개) 제공. 이후 유료 구독 필요.
시각화 / PPT,Claude (Artifacts),코딩 기반 시각화,데이터를 주면 인터랙티브 차트(움직이는 그래프) 코드를 짜서 바로 보여줌.,예쁜 그림보다는 '기능적인 차트' 위주.,"엑셀 데이터 시각화, 대시보드 구현.","[데이터 제공] ""이 데이터를 원형 차트로 그려줘.""",부분 유료 (Freemium),무료(Sonnet 3.5) 모델로도 시각화 가능하지만 사용량 제한이 빡빡함. Pro($20/월) 권장.
웹 / UI / UX,Figma (+AI),전문가용 표준 툴,디자이너 협업 표준. AI 플러그인으로 반복 작업 자동화. 수정 자유도 100%.,비전공자가 쓰기엔 진입장벽이 높음.,개발자에게 넘길 최종 디자인(High-Fidelity) 작업.,"[명령] ""이 버튼들 간격 일정하게 맞춰줘(Auto Layout).""",부분 유료 (Freemium),무료로도 개인 작업 충분. 유료(Pro)는 'Dev Mode(개발자 모드)' 및 팀 라이브러리 공유 기능 제공.
웹 / UI / UX,Uizard,스케치 to 디자인,손으로 그린 낙서를 찍어 올리면 앱 디자인으로 변환.,복잡한 인터랙션 구현은 한계가 있음.,기획자가 아이디어를 빠르게 시각화할 때.,[이미지 업로드] 텍스트보다 손그림 인식이 핵심.,부분 유료 (Freemium),무료는 프로젝트 2개까지 생성 가능. 유료($12/월)부터 화면 내보내기 및 템플릿 제한 해제.
웹 / UI / UX,Galileo,텍스트 to 모바일 UI,텍스트 설명만으로 고퀄리티 모바일 앱 화면 세트를 생성.,생성 후 세밀한 레이아웃 수정이 어려움.,디자인 레퍼런스(참고 자료)를 빠르게 여러 개 뽑을 때.,"[상세 묘사] ""로그인 화면, 회원가입 화면, 홈 화면 세트로 그려줘.""",유료 (Paid),가입 시 소량의 무료 크레딧 제공하나 금방 소진됨. 실질적으론 월 구독($19~) 필요.
웹 / UI / UX,Framer,디자이너를 위한 웹 빌더,디자인 툴처럼 그리면 실제 웹사이트로 배포됨. 피그마와 사용성 유사.,완전 초보자보다는 디자인 툴 사용 경험이 있는 사람에게 적합.,고퀄리티 포트폴리오 사이트 제작.,"[스타일 지정] ""미니멀하고 인터랙션이 많은 스타일로 변환해줘.""",부분 유료 (Freemium),"무료 버전도 사이트 제작 가능하지만, 커스텀 도메인(내 주소) 연결 및 방문자 수가 많아지면 유료 필요."
웹 / UI / UX,Wegic,대화형 웹 빌더,"채팅으로 ""여기 색깔 바꿔줘"", ""사진 넣어줘"" 하면 실시간으로 웹사이트 수정.",아주 복잡한 기능(쇼핑몰 결제 등) 구현은 제한적.,코딩 모르는 사람이 개인 홈페이지 만들 때.,"[대화형] ""헤더 배경을 검은색으로 바꾸고 로고 키워줘.""",부분 유료 (Credit),초기 무료 크레딧 제공. 이후 AI 수정 명령 횟수에 따라 과금.
웹 / UI / UX,Dora,3D 인터랙티브 웹,화려한 3D 효과와 애니메이션이 들어간 사이트 생성.,정보 전달 위주의 정적인 사이트에는 과할 수 있음.,"브랜드 홍보용, 제품 쇼케이스 사이트.","[효과 묘사] ""스크롤하면 제품이 회전하며 줌인되는 효과.""",부분 유료 (Freemium),무료 버전은 Dora 워터마크가 찍힘. 유료 사용 시 워터마크 제거 및 커스텀 도메인 연결 가능.
웹 / UI / UX,Creatie,AI 네이티브 디자인 툴,"피그마와 비슷하지만, '마법봉' 기능으로 아이콘 생성, 이미지 채우기 등 AI 기능이 내장됨.",아직 피그마만큼 플러그인 생태계가 크지 않음.,AI 도움을 받으며 디자인 실무를 하고 싶을 때.,"[자동 생성] ""이 영역에 어울리는 아이콘 세트 만들어줘.""",무료 (Beta/Early Access),현재 초기 단계라 대부분의 프로 기능이 무료로 제공됨. (가장 혜자스러운 시기)
